env_idx,pso_idx,min_cost,p25_cost,p75_cost,max_cost
0,0,4.897067070007324,5.708045244216919,6.328324556350708,7.133260726928711
1,0,4.188591480255127,4.689310908317566,5.2815539836883545,6.233198642730713
2,0,4.0697340965271,5.138355851173401,5.790569543838501,6.4397172927856445
3,0,4.415955066680908,5.169139981269836,5.683819532394409,7.2886962890625
0,1,4.549869060516357,5.652804255485535,6.31889796257019,7.275075435638428
1,1,4.188591003417969,4.435271263122559,4.980048179626465,5.816402435302734
2,1,4.074682712554932,5.103531360626221,5.65955376625061,6.4938554763793945
3,1,4.287306785583496,4.939119219779968,5.467328071594238,6.470216751098633
0,2,4.425427436828613,5.341162443161011,6.12461245059967,7.3109564781188965
1,2,4.106884479522705,4.448781967163086,4.917222857475281,5.691640377044678
2,2,4.016020774841309,5.024063587188721,5.6064335107803345,6.358861923217773
3,2,4.260822296142578,4.8854217529296875,5.499816656112671,6.439754486083984
0,3,4.549869060516357,5.301669955253601,6.197471499443054,7.8850178718566895
1,3,4.106884002685547,4.586395502090454,5.108552932739258,5.96549129486084
2,3,4.016020774841309,4.958325386047363,5.513187408447266,6.566205978393555
3,3,4.260822296142578,4.897475957870483,5.575347661972046,6.124635696411133
0,4,4.50368595123291,5.43549370765686,6.271175503730774,8.287513732910156
1,4,4.106884002685547,4.515726089477539,5.0205771923065186,5.931733131408691
2,4,3.9647622108459473,4.842924356460571,5.488572955131531,6.14207124710083
3,4,4.260822296142578,4.8915205001831055,5.435998439788818,6.273644924163818
0,5,4.549869060516357,5.387611269950867,6.140146970748901,7.622097015380859
1,5,4.106884002685547,4.485787630081177,4.950652003288269,5.6701178550720215
2,5,3.9647622108459473,4.906360864639282,5.62168288230896,6.178553581237793
3,5,4.260822296142578,4.881732940673828,5.498136281967163,6.461576461791992
0,6,4.593033790588379,5.377609610557556,6.241382598876953,7.974081993103027
1,6,4.106884002685547,4.441362380981445,5.004728555679321,5.994550704956055
2,6,3.9373722076416016,4.80098032951355,5.511288285255432,6.511500358581543
3,6,4.260822296142578,4.844781875610352,5.514145016670227,6.691422939300537
0,7,4.593033790588379,5.4186707735061646,6.203367710113525,7.231658458709717
1,7,4.106884002685547,4.441362380981445,5.009140849113464,5.810153007507324
2,7,3.9373722076416016,4.826645255088806,5.50885283946991,6.476518154144287
3,7,4.260822296142578,4.84438419342041,5.440206170082092,6.437471389770508
0,8,4.425427436828613,5.449875473976135,6.2133893966674805,7.2352776527404785
1,8,4.082845211029053,4.436508655548096,4.967619061470032,6.046282768249512
2,8,4.0563249588012695,4.767748594284058,5.491794228553772,6.33703088760376
3,8,4.1358537673950195,4.847509384155273,5.472548961639404,6.856579780578613
0,9,4.4399871826171875,5.316398859024048,6.152422904968262,7.453394889831543
1,9,4.006106376647949,4.488720893859863,4.937012314796448,5.74144983291626
2,9,4.005648136138916,4.932620644569397,5.565540432929993,6.327528476715088
3,9,4.085257530212402,4.652102470397949,5.44038712978363,6.341310501098633
0,10,4.459202766418457,5.459448218345642,6.200112462043762,7.4031171798706055
1,10,4.006106376647949,4.315009117126465,4.8395386934280396,5.807592868804932
2,10,3.9373722076416016,4.835289478302002,5.49191677570343,6.249092102050781
3,10,4.085257530212402,4.8288185596466064,5.586102247238159,6.572751045227051
0,11,4.459202289581299,5.2967445850372314,6.085780024528503,7.563209056854248
1,11,4.005157470703125,4.2764105796813965,4.78505277633667,5.905413627624512
2,11,3.9373722076416016,4.856872200965881,5.502470016479492,6.488974571228027
3,11,4.085257530212402,4.992418527603149,5.5161402225494385,6.412707328796387
0,12,4.248149394989014,5.498062252998352,6.165317416191101,6.9459919929504395
1,12,4.005157470703125,4.267983913421631,4.917796850204468,6.042980670928955
2,12,4.016020774841309,4.877833366394043,5.5001373291015625,6.303913116455078
3,12,4.085257530212402,4.759773015975952,5.467000842094421,6.312577247619629
0,13,4.248149394989014,5.264463782310486,6.090963125228882,7.438610076904297
1,13,4.005157470703125,4.267984390258789,4.9944562911987305,5.887119770050049
2,13,4.1311845779418945,4.88393497467041,5.543531537055969,6.63908576965332
3,13,4.085257530212402,4.816270589828491,5.52086877822876,6.532990455627441
0,14,4.248149394989014,5.323743224143982,6.145511746406555,7.312036514282227
1,14,4.005157470703125,4.274774074554443,4.85494327545166,6.084404945373535
2,14,3.9647622108459473,4.8496633768081665,5.508921265602112,6.588502883911133
3,14,4.03823184967041,4.8900628089904785,5.566995859146118,6.555842399597168
0,15,4.248149394989014,5.342952013015747,6.132257461547852,7.659234046936035
1,15,4.005157470703125,4.285848021507263,4.8806809186935425,5.883518218994141
2,15,3.9679791927337646,4.7924240827560425,5.544079303741455,6.603726387023926
3,15,4.03823184967041,4.878911852836609,5.619020700454712,6.305079936981201
0,16,4.248149394989014,5.271860241889954,6.1222182512283325,7.298052787780762
